Logged_Date,Name,Year,english_language,popularity,vote_average,vote_count,revenue,runtime,Rating,Review,Logged_DOW,Logged_Month,Logged_Year,Logged_Week,Daily_Movie_Count,Weekly_Movie_Count,Action,Crime,War,Drama,Thriller,Mystery,Comedy,Romance,Sci_Fi,Animation,Documentary,Adventure,Music,Horror,Fantasy,History,Western,Rom_Com,female_roles,female_driven,female_directed,negativity_percentage,neutrality_percentage,positivity_percentage,movie_sentiment
2017-07-29,The Silence of the Lambs,1991,1,11.218,8.3,12270,272742922,119,5.0,0,6,7,2017,30,244,387,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0.0,0.0,0.115,0.772,0.113,-0.2732
2017-07-29,Spirited Away,2001,1,1.3159999999999998,8.0,2,0,15,5.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.0,0.0,0.0,0.098,0.804,0.098,0.0
2017-07-29,My Neighbor Totoro,1988,0,49.772,8.1,5601,45000000,86,0.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.0,0.0,0.0,0.0,0.948,0.052,0.4019
2017-07-29,Princess Mononoke,1997,0,37.985,8.4,5785,159414369,134,5.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,7.0,0.0,0.0,0.136,0.79,0.074,-0.6027
2017-07-29,Howl's Moving Castle,2004,0,53.333999999999996,8.4,6615,236049757,119,2.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5.0,0.0,0.0,0.289,0.667,0.044,-0.875
2017-07-29,The Wind Rises,2013,0,30.016,7.8,2033,117932401,126,4.5,0,6,7,2017,30,244,387,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5.0,0.0,0.0,0.116,0.564,0.32,0.7096
2017-07-29,Kiki's Delivery Service,1989,0,34.335,7.8,2725,4493017,103,4.5,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,13.0,1.0,0.0,0.168,0.705,0.128,-0.296
2017-07-29,Ponyo,2008,1,18.203,6.8,6,0,0,3.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2017-07-29,Nausicaä of the Valley of the Wind,1984,0,26.45,7.9,2418,3301446,117,3.5,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,9.0,1.0,0.0,0.14,0.679,0.181,0.2263
2017-07-29,Misery,1990,1,19.058,7.7,3308,61276872,107,0.0,0,6,7,2017,30,244,387,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.119,0.684,0.197,0.4391
2017-07-29,La La Land,2016,1,25.866999999999997,7.9,13519,446486224,129,0.5,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10.0,1.0,0.0,0.092,0.684,0.224,0.9072
2017-07-29,All About Eve,1950,1,23.811,8.2,1085,8400000,139,5.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,0.0,0.12,0.729,0.151,0.5574
2017-07-29,Zodiac,2007,1,22.476999999999997,7.5,7566,84785914,157,5.0,0,6,7,2017,30,244,387,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.284,0.672,0.044,-0.9468
2017-07-29,Se7en,1995,1,29.331999999999997,8.3,15613,327311859,127,0.0,0,6,7,2017,30,244,387,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.3,0.7,0.0,-0.9758
2017-07-29,The Game,1997,1,32.395,7.6,4512,109423648,129,2.5,0,6,7,2017,30,244,387,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.083,0.786,0.131,0.4767
2017-07-29,The Girl with the Dragon Tattoo,2011,1,20.359,7.3,5388,232617430,158,0.0,0,6,7,2017,30,244,387,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,0.08,0.883,0.036,-0.4215
2017-07-29,Fight Club,1999,1,52.708999999999996,8.4,22278,100853753,139,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.161,0.839,0.0,-0.7579
2017-07-29,The Social Network,2010,1,18.904,7.3,9173,224920315,121,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,0.0,0.731,0.269,0.8957
2017-07-29,Donnie Darko,2001,1,22.441999999999997,7.8,9652,7500000,114,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.0,1.0,0.0,0.274,0.554,0.173,-0.6249
2017-07-29,Source Code,2011,1,20.289,7.3,6384,147332697,93,2.5,0,6,7,2017,30,244,387,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2017-07-29,Love & Other Drugs,2010,1,396.327,7.6,155,0,101,3.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,0.0,0.0,0.045,0.865,0.09,0.34
2017-07-29,Pulp Fiction,1994,1,43.586999999999996,8.5,21644,214179088,154,2.0,0,6,7,2017,30,244,387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,0.091,0.777,0.132,0.1531
2017-07-29,The Beguiled,2017,1,28.831999999999997,5.8,1786,27397655,93,4.5,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,1.0,0.312,0.688,0.0,-0.9559
