name,job,movie_count,gender,popularity,profile_path,order
Irving Ravetch,Screenplay,2,Male,5.379,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1028
Luis Buñuel,Director,2,Male,5.367999999999999,https://image.tmdb.org/t/p/original/a7wib1eRG6TyonDXpAbF7PZd0f8.jpg,1029
Luis Buñuel,Screenplay,2,Male,5.367999999999999,https://image.tmdb.org/t/p/original/a7wib1eRG6TyonDXpAbF7PZd0f8.jpg,1029
Cinco Paul,Writer,2,Male,5.363,https://image.tmdb.org/t/p/original/phZeM2oJ8jclBfCWzxgE6y9RiR6.jpg,1030
Jennifer Kaytin Robinson,Director,2,Female,5.347,https://image.tmdb.org/t/p/original/lvNurtB8HROilnxDHUOCSfE1qfV.jpg,1031
Jennifer Kaytin Robinson,Writer,2,Female,5.347,https://image.tmdb.org/t/p/original/lvNurtB8HROilnxDHUOCSfE1qfV.jpg,1031
Randal Kleiser,Director,2,Male,5.3370000000000015,https://image.tmdb.org/t/p/original/7x0m0oIh1hUSFJt6A6lRSniudaf.jpg,1032
Jacques Demy,Screenplay,2,Male,5.331,https://image.tmdb.org/t/p/original/qfCV7ckQ2XjsAgDRzvJ2PCRAzAE.jpg,1033
Jacques Demy,Director,2,Male,5.331,https://image.tmdb.org/t/p/original/qfCV7ckQ2XjsAgDRzvJ2PCRAzAE.jpg,1033
Edward Zwick,Screenplay,2,Male,5.315,https://image.tmdb.org/t/p/original/xN7GHXkzCK2y9P16g6n3a7uhNAk.jpg,1034
Edward Zwick,Director,2,Male,5.315,https://image.tmdb.org/t/p/original/xN7GHXkzCK2y9P16g6n3a7uhNAk.jpg,1034
Robert Aldrich,Director,2,Male,5.3020000000000005,https://image.tmdb.org/t/p/original/uUa8zcoQAvz7cFd0PPY3NL6y2cE.jpg,1035
Chris Wedge,Director,2,Male,5.284,https://image.tmdb.org/t/p/original/bYiy2vcXgJq5XZdZ15uIhBhnBF8.jpg,1036
Alex Kurtzman,Screenplay,2,Male,5.282,https://image.tmdb.org/t/p/original/uDZxuaV19OYMhN7vuuVg1bSlqUM.jpg,1037
Andrew Niccol,Writer,2,Male,5.276,https://image.tmdb.org/t/p/original/jTNhskoCvZsLqZwk5CFIrMpCftx.jpg,1038
Andrew Niccol,Screenplay,2,Male,5.276,https://image.tmdb.org/t/p/original/jTNhskoCvZsLqZwk5CFIrMpCftx.jpg,1038
Brian Levant,Director,2,Male,5.267,https://image.tmdb.org/t/p/original/w5i30CI5PekRZry3AgME1ntEQSP.jpg,1039
Alexander Payne,Director,2,Male,5.21,https://image.tmdb.org/t/p/original/d8mwLxuCMxMxcE8Qys9sdUb7UZg.jpg,1040
Andrew Hulme,Editor,2,Male,5.153,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1041
John Dahl,Director,2,Male,5.122999999999998,https://image.tmdb.org/t/p/original/8WDCi9LJ9Lc7z6BSwGiQqfkSx61.jpg,1042
Chris Miller,Director,2,Male,5.093,https://image.tmdb.org/t/p/original/qKdbhP9amIRlydcoivWlTx3szuS.jpg,1043
Martin Campbell,Director,2,Male,5.091,https://image.tmdb.org/t/p/original/vPT3FJrBE35yRpbbkLWQthhEDcr.jpg,1044
Fred Zinnemann,Director,2,Male,5.085,https://image.tmdb.org/t/p/original/vCdL6xfN6ey7Zb8SRb6ROiuFV8n.jpg,1045
Victor Hugo,Novel,2,Male,5.065,https://image.tmdb.org/t/p/original/g9AOq3TufNgZgeQyHm1J2tINtvC.jpg,1046
James DeMonaco,Director,2,Male,4.9030000000000005,https://image.tmdb.org/t/p/original/nH0LS98m3ZiAgIqROLYrr9H5DnD.jpg,1047
James DeMonaco,Writer,2,Male,4.9030000000000005,https://image.tmdb.org/t/p/original/nH0LS98m3ZiAgIqROLYrr9H5DnD.jpg,1047
Paul Schrader,Screenplay,2,Male,4.897,https://image.tmdb.org/t/p/original/ctRxgCUSRFudwFaPG2AanL71Y3V.jpg,1048
Jennifer Yuh Nelson,Director,2,Female,4.883,https://image.tmdb.org/t/p/original/opLn7bTvqUOkio2OrZU5Ejam6cV.jpg,1049
James Vanderbilt,Screenplay,2,Male,4.862,https://image.tmdb.org/t/p/original/tptj363x29gJ6hfTWBwBnWQG7A.jpg,1050
Neill Blomkamp,Director,2,Male,4.843,https://image.tmdb.org/t/p/original/yj40QEEfjbRFnlwY0XunocNKdAe.jpg,1051
Neill Blomkamp,Writer,2,Male,4.843,https://image.tmdb.org/t/p/original/yj40QEEfjbRFnlwY0XunocNKdAe.jpg,1051
Ramin Bahrani,Director,2,Male,4.807,https://image.tmdb.org/t/p/original/9VlwD6zulF8VgZK3i3S6eRkrrtI.jpg,1052
Terence Young,Director,2,Male,4.802,https://image.tmdb.org/t/p/original/5Kq0XBQ4VxD7WHztKthdIF1XxVP.jpg,1053
David Wain,Director,2,Male,4.768,https://image.tmdb.org/t/p/original/yh4AtjuNvBwca8HvzIXjo1Y1Nwf.jpg,1054
Chris Williams,Director,2,Male,4.758,https://image.tmdb.org/t/p/original/eE2NDdeKN1DC3XuV6L4xuEbVaS.jpg,1055
Colin Trevorrow,Director,2,Male,4.707,https://image.tmdb.org/t/p/original/i0HBClPMPKn3aq8QeQqyThS67EK.jpg,1056
Aline Brosh McKenna,Screenplay,2,Female,4.703,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1057
Wallace Wolodarsky,Screenplay,2,Male,4.6960000000000015,https://image.tmdb.org/t/p/original/a6npTg5wUQIHkyH17m5FPc9hJPV.jpg,1058
Tate Taylor,Director,2,Male,4.672,https://image.tmdb.org/t/p/original/zJaLbNHLoQMhCAeJhn1J1B0xrup.jpg,1059
